contact,transiting,natal,aspect,exact_key,package_status,you_words,friend_words,exact_review_status,shared_key,shared_has_you,shared_review_status
Sun conjunction your Uranus,sun,uranus,conjunction,authored/transit-aspect/sun/uranus/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/uranus/hard,yes,approved
Sun opposition your Uranus,sun,uranus,opposition,authored/transit-aspect/sun/uranus/opposition,empty_exact,0,0,,authored/transit-aspect/sun/uranus/hard,yes,approved
Sun square your Uranus,sun,uranus,square,authored/transit-aspect/sun/uranus/square,empty_exact,0,0,,authored/transit-aspect/sun/uranus/hard,yes,approved
Sun trine your Uranus,sun,uranus,trine,authored/transit-aspect/sun/uranus/trine,empty_exact,0,0,,authored/transit-aspect/sun/uranus/soft,yes,approved
Sun sextile your Uranus,sun,uranus,sextile,authored/transit-aspect/sun/uranus/sextile,empty_exact,0,0,,authored/transit-aspect/sun/uranus/soft,yes,approved
Sun conjunction your Neptune,sun,neptune,conjunction,authored/transit-aspect/sun/neptune/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/neptune/hard,yes,approved
Sun opposition your Neptune,sun,neptune,opposition,authored/transit-aspect/sun/neptune/opposition,empty_exact,0,0,,authored/transit-aspect/sun/neptune/hard,yes,approved
Sun square your Neptune,sun,neptune,square,authored/transit-aspect/sun/neptune/square,empty_exact,0,0,,authored/transit-aspect/sun/neptune/hard,yes,approved
Sun trine your Neptune,sun,neptune,trine,authored/transit-aspect/sun/neptune/trine,empty_exact,0,0,,authored/transit-aspect/sun/neptune/soft,yes,approved
Sun sextile your Neptune,sun,neptune,sextile,authored/transit-aspect/sun/neptune/sextile,empty_exact,0,0,,authored/transit-aspect/sun/neptune/soft,yes,approved
Sun conjunction your Pluto,sun,pluto,conjunction,authored/transit-aspect/sun/pluto/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/pluto/hard,yes,approved
Sun opposition your Pluto,sun,pluto,opposition,authored/transit-aspect/sun/pluto/opposition,empty_exact,0,0,,authored/transit-aspect/sun/pluto/hard,yes,approved
Sun square your Pluto,sun,pluto,square,authored/transit-aspect/sun/pluto/square,empty_exact,0,0,,authored/transit-aspect/sun/pluto/hard,yes,approved
Sun trine your Pluto,sun,pluto,trine,authored/transit-aspect/sun/pluto/trine,empty_exact,0,0,,authored/transit-aspect/sun/pluto/soft,yes,approved
Sun sextile your Pluto,sun,pluto,sextile,authored/transit-aspect/sun/pluto/sextile,empty_exact,0,0,,authored/transit-aspect/sun/pluto/soft,yes,approved
Sun conjunction your Chiron,sun,chiron,conjunction,authored/transit-aspect/sun/chiron/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/chiron/hard,no,
Sun opposition your Chiron,sun,chiron,opposition,authored/transit-aspect/sun/chiron/opposition,empty_exact,0,0,,authored/transit-aspect/sun/chiron/hard,no,
Sun square your Chiron,sun,chiron,square,authored/transit-aspect/sun/chiron/square,empty_exact,0,0,,authored/transit-aspect/sun/chiron/hard,no,
Sun trine your Chiron,sun,chiron,trine,authored/transit-aspect/sun/chiron/trine,empty_exact,0,0,,authored/transit-aspect/sun/chiron/soft,no,
Sun sextile your Chiron,sun,chiron,sextile,authored/transit-aspect/sun/chiron/sextile,empty_exact,0,0,,authored/transit-aspect/sun/chiron/soft,no,
Sun conjunction your North Node,sun,north-node,conjunction,authored/transit-aspect/sun/north-node/conjunction,exact_you_and_friend,111,111,approved,authored/transit-aspect/sun/north-node/hard,no,
Sun opposition your North Node,sun,north-node,opposition,authored/transit-aspect/sun/north-node/opposition,empty_exact,0,0,,authored/transit-aspect/sun/north-node/hard,no,
Sun square your North Node,sun,north-node,square,authored/transit-aspect/sun/north-node/square,empty_exact,0,0,,authored/transit-aspect/sun/north-node/hard,no,
Sun trine your North Node,sun,north-node,trine,authored/transit-aspect/sun/north-node/trine,empty_exact,0,0,,authored/transit-aspect/sun/north-node/soft,no,
Sun sextile your North Node,sun,north-node,sextile,authored/transit-aspect/sun/north-node/sextile,empty_exact,0,0,,authored/transit-aspect/sun/north-node/soft,no,
Sun conjunction your South Node,sun,south-node,conjunction,authored/transit-aspect/sun/south-node/conjunction,exact_you_and_friend,108,108,approved,authored/transit-aspect/sun/south-node/hard,no,
Sun opposition your South Node,sun,south-node,opposition,authored/transit-aspect/sun/south-node/opposition,empty_exact,0,0,,authored/transit-aspect/sun/south-node/hard,no,
Sun square your South Node,sun,south-node,square,authored/transit-aspect/sun/south-node/square,empty_exact,0,0,,authored/transit-aspect/sun/south-node/hard,no,
Sun trine your South Node,sun,south-node,trine,authored/transit-aspect/sun/south-node/trine,empty_exact,0,0,,authored/transit-aspect/sun/south-node/soft,no,
Sun sextile your South Node,sun,south-node,sextile,authored/transit-aspect/sun/south-node/sextile,empty_exact,0,0,,authored/transit-aspect/sun/south-node/soft,no,
Sun conjunction your Lilith,sun,lilith,conjunction,authored/transit-aspect/sun/lilith/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/lilith/hard,yes,approved
Sun opposition your Lilith,sun,lilith,opposition,authored/transit-aspect/sun/lilith/opposition,empty_exact,0,0,,authored/transit-aspect/sun/lilith/hard,yes,approved
Sun conjunction your Ascendant,sun,ascendant,conjunction,authored/transit-aspect/sun/ascendant/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/ascendant/hard,yes,approved
Sun opposition your Ascendant,sun,ascendant,opposition,authored/transit-aspect/sun/ascendant/opposition,empty_exact,0,0,,authored/transit-aspect/sun/ascendant/hard,yes,approved
Sun square your Ascendant,sun,ascendant,square,authored/transit-aspect/sun/ascendant/square,empty_exact,0,0,,authored/transit-aspect/sun/ascendant/hard,yes,approved
Sun trine your Ascendant,sun,ascendant,trine,authored/transit-aspect/sun/ascendant/trine,empty_exact,0,0,,authored/transit-aspect/sun/ascendant/soft,yes,approved
Sun sextile your Ascendant,sun,ascendant,sextile,authored/transit-aspect/sun/ascendant/sextile,empty_exact,0,0,,authored/transit-aspect/sun/ascendant/soft,yes,approved
Sun conjunction your Midheaven,sun,midheaven,conjunction,authored/transit-aspect/sun/midheaven/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/midheaven/hard,yes,approved
Sun opposition your Midheaven,sun,midheaven,opposition,authored/transit-aspect/sun/midheaven/opposition,empty_exact,0,0,,authored/transit-aspect/sun/midheaven/hard,yes,approved
Sun square your Midheaven,sun,midheaven,square,authored/transit-aspect/sun/midheaven/square,empty_exact,0,0,,authored/transit-aspect/sun/midheaven/hard,yes,approved
Sun trine your Midheaven,sun,midheaven,trine,authored/transit-aspect/sun/midheaven/trine,empty_exact,0,0,,authored/transit-aspect/sun/midheaven/soft,yes,approved
Sun sextile your Midheaven,sun,midheaven,sextile,authored/transit-aspect/sun/midheaven/sextile,empty_exact,0,0,,authored/transit-aspect/sun/midheaven/soft,yes,approved
Sun conjunction your Descendant,sun,descendant,conjunction,authored/transit-aspect/sun/descendant/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/descendant/hard,no,
Sun opposition your Descendant,sun,descendant,opposition,authored/transit-aspect/sun/descendant/opposition,empty_exact,0,0,,authored/transit-aspect/sun/descendant/hard,no,
Sun square your Descendant,sun,descendant,square,authored/transit-aspect/sun/descendant/square,empty_exact,0,0,,authored/transit-aspect/sun/descendant/hard,no,
Sun trine your Descendant,sun,descendant,trine,authored/transit-aspect/sun/descendant/trine,empty_exact,0,0,,authored/transit-aspect/sun/descendant/soft,no,
Sun sextile your Descendant,sun,descendant,sextile,authored/transit-aspect/sun/descendant/sextile,empty_exact,0,0,,authored/transit-aspect/sun/descendant/soft,no,
Sun conjunction your Imum Coeli,sun,imum-coeli,conjunction,authored/transit-aspect/sun/imum-coeli/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/imum-coeli/hard,no,
Sun opposition your Imum Coeli,sun,imum-coeli,opposition,authored/transit-aspect/sun/imum-coeli/opposition,empty_exact,0,0,,authored/transit-aspect/sun/imum-coeli/hard,no,
Sun square your Imum Coeli,sun,imum-coeli,square,authored/transit-aspect/sun/imum-coeli/square,empty_exact,0,0,,authored/transit-aspect/sun/imum-coeli/hard,no,
Sun trine your Imum Coeli,sun,imum-coeli,trine,authored/transit-aspect/sun/imum-coeli/trine,empty_exact,0,0,,authored/transit-aspect/sun/imum-coeli/soft,no,
Sun sextile your Imum Coeli,sun,imum-coeli,sextile,authored/transit-aspect/sun/imum-coeli/sextile,empty_exact,0,0,,authored/transit-aspect/sun/imum-coeli/soft,no,
Moon conjunction your Sun,moon,sun,conjunction,authored/transit-aspect/moon/sun/conjunction,exact_you_and_friend,107,107,approved,authored/transit-aspect/moon/sun/hard,yes,approved
Moon opposition your Sun,moon,sun,opposition,authored/transit-aspect/moon/sun/opposition,empty_exact,0,0,,authored/transit-aspect/moon/sun/hard,yes,approved
Moon square your Sun,moon,sun,square,authored/transit-aspect/moon/sun/square,empty_exact,0,0,,authored/transit-aspect/moon/sun/hard,yes,approved
Moon trine your Sun,moon,sun,trine,authored/transit-aspect/moon/sun/trine,empty_exact,0,0,,authored/transit-aspect/moon/sun/soft,yes,approved
Moon sextile your Sun,moon,sun,sextile,authored/transit-aspect/moon/sun/sextile,empty_exact,0,0,,authored/transit-aspect/moon/sun/soft,yes,approved
Moon conjunction your Moon,moon,moon,conjunction,authored/transit-aspect/moon/moon/conjunction,exact_you_and_friend,98,98,approved,authored/transit-aspect/moon/moon/hard,yes,approved
Moon opposition your Moon,moon,moon,opposition,authored/transit-aspect/moon/moon/opposition,empty_exact,0,0,,authored/transit-aspect/moon/moon/hard,yes,approved
Moon square your Moon,moon,moon,square,authored/transit-aspect/moon/moon/square,empty_exact,0,0,,authored/transit-aspect/moon/moon/hard,yes,approved
Moon trine your Moon,moon,moon,trine,authored/transit-aspect/moon/moon/trine,empty_exact,0,0,,authored/transit-aspect/moon/moon/soft,no,
Moon sextile your Moon,moon,moon,sextile,authored/transit-aspect/moon/moon/sextile,empty_exact,0,0,,authored/transit-aspect/moon/moon/soft,no,
Moon conjunction your Mercury,moon,mercury,conjunction,authored/transit-aspect/moon/mercury/conjunction,exact_you_and_friend,96,96,approved,authored/transit-aspect/moon/mercury/hard,yes,approved
Moon opposition your Mercury,moon,mercury,opposition,authored/transit-aspect/moon/mercury/opposition,empty_exact,0,0,,authored/transit-aspect/moon/mercury/hard,yes,approved
Moon square your Mercury,moon,mercury,square,authored/transit-aspect/moon/mercury/square,empty_exact,0,0,,authored/transit-aspect/moon/mercury/hard,yes,approved
Moon trine your Mercury,moon,mercury,trine,authored/transit-aspect/moon/mercury/trine,empty_exact,0,0,,authored/transit-aspect/moon/mercury/soft,yes,approved
Moon sextile your Mercury,moon,mercury,sextile,authored/transit-aspect/moon/mercury/sextile,empty_exact,0,0,,authored/transit-aspect/moon/mercury/soft,yes,approved
Moon conjunction your Venus,moon,venus,conjunction,authored/transit-aspect/moon/venus/conjunction,exact_you_and_friend,95,95,approved,authored/transit-aspect/moon/venus/hard,yes,approved
Moon opposition your Venus,moon,venus,opposition,authored/transit-aspect/moon/venus/opposition,empty_exact,0,0,,authored/transit-aspect/moon/venus/hard,yes,approved
Moon square your Venus,moon,venus,square,authored/transit-aspect/moon/venus/square,empty_exact,0,0,,authored/transit-aspect/moon/venus/hard,yes,approved
Moon trine your Venus,moon,venus,trine,authored/transit-aspect/moon/venus/trine,empty_exact,0,0,,authored/transit-aspect/moon/venus/soft,yes,approved
Moon sextile your Venus,moon,venus,sextile,authored/transit-aspect/moon/venus/sextile,empty_exact,0,0,,authored/transit-aspect/moon/venus/soft,yes,approved
Moon conjunction your Mars,moon,mars,conjunction,authored/transit-aspect/moon/mars/conjunction,exact_you_and_friend,102,102,approved,authored/transit-aspect/moon/mars/hard,yes,approved
Moon opposition your Mars,moon,mars,opposition,authored/transit-aspect/moon/mars/opposition,empty_exact,0,0,,authored/transit-aspect/moon/mars/hard,yes,approved
Moon square your Mars,moon,mars,square,authored/transit-aspect/moon/mars/square,empty_exact,0,0,,authored/transit-aspect/moon/mars/hard,yes,approved
Moon trine your Mars,moon,mars,trine,authored/transit-aspect/moon/mars/trine,empty_exact,0,0,,authored/transit-aspect/moon/mars/soft,yes,approved
Moon sextile your Mars,moon,mars,sextile,authored/transit-aspect/moon/mars/sextile,empty_exact,0,0,,authored/transit-aspect/moon/mars/soft,yes,approved
Moon conjunction your Jupiter,moon,jupiter,conjunction,authored/transit-aspect/moon/jupiter/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/jupiter/hard,yes,approved
Moon opposition your Jupiter,moon,jupiter,opposition,authored/transit-aspect/moon/jupiter/opposition,empty_exact,0,0,,authored/transit-aspect/moon/jupiter/hard,yes,approved
Moon square your Jupiter,moon,jupiter,square,authored/transit-aspect/moon/jupiter/square,empty_exact,0,0,,authored/transit-aspect/moon/jupiter/hard,yes,approved
Moon trine your Jupiter,moon,jupiter,trine,authored/transit-aspect/moon/jupiter/trine,empty_exact,0,0,,authored/transit-aspect/moon/jupiter/soft,yes,approved
Moon sextile your Jupiter,moon,jupiter,sextile,authored/transit-aspect/moon/jupiter/sextile,empty_exact,0,0,,authored/transit-aspect/moon/jupiter/soft,yes,approved
Moon conjunction your Saturn,moon,saturn,conjunction,authored/transit-aspect/moon/saturn/conjunction,exact_you_and_friend,109,109,approved,authored/transit-aspect/moon/saturn/hard,yes,approved
Moon opposition your Saturn,moon,saturn,opposition,authored/transit-aspect/moon/saturn/opposition,empty_exact,0,0,,authored/transit-aspect/moon/saturn/hard,yes,approved
Moon square your Saturn,moon,saturn,square,authored/transit-aspect/moon/saturn/square,empty_exact,0,0,,authored/transit-aspect/moon/saturn/hard,yes,approved
Moon trine your Saturn,moon,saturn,trine,authored/transit-aspect/moon/saturn/trine,empty_exact,0,0,,authored/transit-aspect/moon/saturn/soft,yes,approved
Moon sextile your Saturn,moon,saturn,sextile,authored/transit-aspect/moon/saturn/sextile,empty_exact,0,0,,authored/transit-aspect/moon/saturn/soft,yes,approved
Moon conjunction your Uranus,moon,uranus,conjunction,authored/transit-aspect/moon/uranus/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/uranus/hard,no,
Moon opposition your Uranus,moon,uranus,opposition,authored/transit-aspect/moon/uranus/opposition,empty_exact,0,0,,authored/transit-aspect/moon/uranus/hard,no,
Moon square your Uranus,moon,uranus,square,authored/transit-aspect/moon/uranus/square,empty_exact,0,0,,authored/transit-aspect/moon/uranus/hard,no,
Moon trine your Uranus,moon,uranus,trine,authored/transit-aspect/moon/uranus/trine,empty_exact,0,0,,authored/transit-aspect/moon/uranus/soft,no,
Moon sextile your Uranus,moon,uranus,sextile,authored/transit-aspect/moon/uranus/sextile,empty_exact,0,0,,authored/transit-aspect/moon/uranus/soft,no,
Moon conjunction your Neptune,moon,neptune,conjunction,authored/transit-aspect/moon/neptune/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/neptune/hard,no,
Moon opposition your Neptune,moon,neptune,opposition,authored/transit-aspect/moon/neptune/opposition,empty_exact,0,0,,authored/transit-aspect/moon/neptune/hard,no,
Moon square your Neptune,moon,neptune,square,authored/transit-aspect/moon/neptune/square,empty_exact,0,0,,authored/transit-aspect/moon/neptune/hard,no,
Moon trine your Neptune,moon,neptune,trine,authored/transit-aspect/moon/neptune/trine,empty_exact,0,0,,authored/transit-aspect/moon/neptune/soft,no,
Moon sextile your Neptune,moon,neptune,sextile,authored/transit-aspect/moon/neptune/sextile,empty_exact,0,0,,authored/transit-aspect/moon/neptune/soft,no,
Moon conjunction your Pluto,moon,pluto,conjunction,authored/transit-aspect/moon/pluto/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/pluto/hard,no,
Moon opposition your Pluto,moon,pluto,opposition,authored/transit-aspect/moon/pluto/opposition,empty_exact,0,0,,authored/transit-aspect/moon/pluto/hard,no,
Moon square your Pluto,moon,pluto,square,authored/transit-aspect/moon/pluto/square,empty_exact,0,0,,authored/transit-aspect/moon/pluto/hard,no,
Moon trine your Pluto,moon,pluto,trine,authored/transit-aspect/moon/pluto/trine,empty_exact,0,0,,authored/transit-aspect/moon/pluto/soft,no,
Moon sextile your Pluto,moon,pluto,sextile,authored/transit-aspect/moon/pluto/sextile,empty_exact,0,0,,authored/transit-aspect/moon/pluto/soft,no,
Moon conjunction your Chiron,moon,chiron,conjunction,authored/transit-aspect/moon/chiron/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/chiron/hard,no,
Moon opposition your Chiron,moon,chiron,opposition,authored/transit-aspect/moon/chiron/opposition,empty_exact,0,0,,authored/transit-aspect/moon/chiron/hard,no,
Moon square your Chiron,moon,chiron,square,authored/transit-aspect/moon/chiron/square,empty_exact,0,0,,authored/transit-aspect/moon/chiron/hard,no,
Moon trine your Chiron,moon,chiron,trine,authored/transit-aspect/moon/chiron/trine,empty_exact,0,0,,authored/transit-aspect/moon/chiron/soft,no,
Moon sextile your Chiron,moon,chiron,sextile,authored/transit-aspect/moon/chiron/sextile,empty_exact,0,0,,authored/transit-aspect/moon/chiron/soft,no,
Moon conjunction your North Node,moon,north-node,conjunction,authored/transit-aspect/moon/north-node/conjunction,exact_you_and_friend,100,100,approved,authored/transit-aspect/moon/north-node/hard,no,
Moon opposition your North Node,moon,north-node,opposition,authored/transit-aspect/moon/north-node/opposition,empty_exact,0,0,,authored/transit-aspect/moon/north-node/hard,no,
Moon square your North Node,moon,north-node,square,authored/transit-aspect/moon/north-node/square,empty_exact,0,0,,authored/transit-aspect/moon/north-node/hard,no,
Moon trine your North Node,moon,north-node,trine,authored/transit-aspect/moon/north-node/trine,empty_exact,0,0,,authored/transit-aspect/moon/north-node/soft,no,
Moon sextile your North Node,moon,north-node,sextile,authored/transit-aspect/moon/north-node/sextile,empty_exact,0,0,,authored/transit-aspect/moon/north-node/soft,no,
Moon conjunction your South Node,moon,south-node,conjunction,authored/transit-aspect/moon/south-node/conjunction,exact_you_and_friend,105,105,approved,authored/transit-aspect/moon/south-node/hard,no,
Moon opposition your South Node,moon,south-node,opposition,authored/transit-aspect/moon/south-node/opposition,empty_exact,0,0,,authored/transit-aspect/moon/south-node/hard,no,
Moon square your South Node,moon,south-node,square,authored/transit-aspect/moon/south-node/square,empty_exact,0,0,,authored/transit-aspect/moon/south-node/hard,no,
Moon trine your South Node,moon,south-node,trine,authored/transit-aspect/moon/south-node/trine,empty_exact,0,0,,authored/transit-aspect/moon/south-node/soft,no,
Moon sextile your South Node,moon,south-node,sextile,authored/transit-aspect/moon/south-node/sextile,empty_exact,0,0,,authored/transit-aspect/moon/south-node/soft,no,
Moon conjunction your Lilith,moon,lilith,conjunction,authored/transit-aspect/moon/lilith/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/lilith/hard,yes,approved
Moon opposition your Lilith,moon,lilith,opposition,authored/transit-aspect/moon/lilith/opposition,empty_exact,0,0,,authored/transit-aspect/moon/lilith/hard,yes,approved
Moon conjunction your Ascendant,moon,ascendant,conjunction,authored/transit-aspect/moon/ascendant/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/ascendant/hard,no,
Moon opposition your Ascendant,moon,ascendant,opposition,authored/transit-aspect/moon/ascendant/opposition,empty_exact,0,0,,authored/transit-aspect/moon/ascendant/hard,no,
Moon square your Ascendant,moon,ascendant,square,authored/transit-aspect/moon/ascendant/square,empty_exact,0,0,,authored/transit-aspect/moon/ascendant/hard,no,
Moon trine your Ascendant,moon,ascendant,trine,authored/transit-aspect/moon/ascendant/trine,empty_exact,0,0,,authored/transit-aspect/moon/ascendant/soft,no,
Moon sextile your Ascendant,moon,ascendant,sextile,authored/transit-aspect/moon/ascendant/sextile,empty_exact,0,0,,authored/transit-aspect/moon/ascendant/soft,no,
Moon conjunction your Midheaven,moon,midheaven,conjunction,authored/transit-aspect/moon/midheaven/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/midheaven/hard,no,
Moon opposition your Midheaven,moon,midheaven,opposition,authored/transit-aspect/moon/midheaven/opposition,empty_exact,0,0,,authored/transit-aspect/moon/midheaven/hard,no,
Moon square your Midheaven,moon,midheaven,square,authored/transit-aspect/moon/midheaven/square,empty_exact,0,0,,authored/transit-aspect/moon/midheaven/hard,no,
Moon trine your Midheaven,moon,midheaven,trine,authored/transit-aspect/moon/midheaven/trine,empty_exact,0,0,,authored/transit-aspect/moon/midheaven/soft,no,
Moon sextile your Midheaven,moon,midheaven,sextile,authored/transit-aspect/moon/midheaven/sextile,empty_exact,0,0,,authored/transit-aspect/moon/midheaven/soft,no,
Moon conjunction your Descendant,moon,descendant,conjunction,authored/transit-aspect/moon/descendant/conjunction,empty_exact,0,0,,authored/transit-aspect/moon/descendant/hard,no,
Moon opposition your Descendant,moon,descendant,opposition,authored/transit-aspect/moon/descendant/opposition,empty_exact,0,0,,authored/transit-aspect/moon/descendant/hard,no,
Moon square your Descendant,moon,descendant,square,authored/transit-aspect/moon/descendant/square,empty_exact,0,0,,authored/transit-aspect/moon/descendant/hard,no,
Moon trine your Descendant,moon,descendant,trine,authored/transit-aspect/moon/descendant/trine,empty_exact,0,0,,authored/transit-aspect/moon/descendant/soft,no,
